zip_code,total_locations,Study_Area_Code,Holding_Company,total_disbursed,population_total,housing_units,vacant_units,population_65plus,median_age,ownership_rate,deployment_rate_pct
21911,2592,180216,"ARMSTRONG HOLDINGS, INC.","$28,348,280",11004,4081,182,1385,39,57.9,63.51
21620,822,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",12853,6159,574,2819,44,44.9,13.35
21617,684,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",9907,3897,274,1470,41,64.7,17.55
21917,608,180216,"ARMSTRONG HOLDINGS, INC.","$28,348,280",2520,907,39,310,42,68.2,67.03
21901,407,180216,"ARMSTRONG HOLDINGS, INC.","$28,348,280",15875,6648,413,1632,37,55.6,6.12
21904,395,180216,"ARMSTRONG HOLDINGS, INC.","$28,348,280",7252,2871,231,775,41,59.4,13.76
21851,264,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",7315,3365,398,1224,42,42.2,7.85
21623,248,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",2111,816,74,231,39,57.3,30.39
21668,237,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",1904,785,71,308,41,47.1,30.19
21645,196,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",1039,594,56,221,45,46.6,33
21918,181,180216,"ARMSTRONG HOLDINGS, INC.","$28,348,280",4284,1589,69,481,41,61.1,11.39
21651,163,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",2898,1234,120,395,40,59,13.21
21863,143,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",5029,2192,224,866,44,45.6,6.52
21678,141,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",2301,1144,101,459,47,53.8,12.33
21661,127,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",2653,1792,154,722,52,45.8,7.09
21649,97,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",1858,593,77,129,29,39.3,16.36
21813,94,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",2852,1345,100,433,46,57.7,6.99
21657,88,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",777,310,17,97,42,57.6,28.39
21850,74,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",2790,1279,109,369,41,52.7,5.79
21607,72,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",583,236,27,62,40,56.5,30.51
21849,66,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",3238,1375,109,445,42,54.7,4.8
21644,53,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",111,41,3,13,35,60.5,129.27
21829,49,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",527,247,27,107,44,43.1,19.84
21872,44,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",718,307,28,109,45,50.6,14.33
21915,38,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",3030,1582,105,504,46,55.3,2.4
21650,36,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",238,98,17,33,37,48.8,36.73
21841,34,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",860,394,40,133,44,53.8,8.63
21864,33,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",611,309,54,107,46,52.1,10.68
21635,32,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",2098,1034,57,396,46,53.2,3.09
21640,25,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",1632,651,44,190,39,54.7,3.84
21874,21,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",2210,917,65,256,38,54,2.29
21804,19,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",38491,16184,1161,5061,33,38.5,0.12
21638,11,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",4934,2191,148,813,43,64.1,0.5
21610,10,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",378,347,17,63,47,41.9,2.88
21862,9,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",106,54,7,14,46,25.5,16.67
21811,9,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",22550,14832,920,6187,51,53.4,0.06
21822,7,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",1930,827,49,283,45,56.8,0.85
21667,7,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",310,155,17,74,50,58.6,4.52
21658,3,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",3862,1679,76,760,47,62.8,0.18
21826,1,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",4837,2028,194,506,33,44.8,0.05
21912,1,189039,"TALKIE COMMUNICATIONS, INC.","$26,185,399",1231,508,32,141,41,56.9,0.2
